06/08/2022,Prairie Ag Commodity Trading,2167201 Peas Cay Seeds to PACT Saskatoon 15705 (36.13),"1,900.00  "
06/08/2022,Natural Proteins Inc.,20880-1 Wheat Mc Auley Creek Farms to Masterfeeds Grunthal 15860-15861,"1,524.93  "
06/08/2022,JGL,128131 Canola Meal Bunge Harrowby to Olysky Ogema 15600-15826,"1,510.95  "
06/08/2022,JGL,128113 Canola Meal Bunge Harrowby to Olysky Ogema 15828-15829,"1,494.50  "
06/08/2022,Sollio Agriculture Western Division,500036269 500036153 Feed Solio to TC Cluckers 15859 SPLIT LOAD,"1,488.20  "
06/08/2022,JGL,128176 Canola Meal Bunge Harrowby to Olysky Porcupine 15708-15709,"1,375.04  "
06/08/2022,JGL,128177 Canola Meal Bunge Harrowby to Olysky Porcupine 15711,"1,343.68  "
06/08/2022,Trouw Nutrition,3725647 Oat Hulls Richardson Portage to Trouw Ste Anne 15417,"1,150.00  "
06/08/2022,Richardson,10702031 Feed Wheat Richardson Pioneer to Trouw Ste Anne 15831,"1,143.22  "
06/08/2022,Richardson,10702030 Wheat Richardson Canora to Trouw Ste Anne 15714,"1,142.70  "
06/08/2022,Adroit Overseas Ent. Ltd.,P21220934-07 Corn Terrador Farms to Hamiota 15827,"1,129.18  "
06/08/2022,Richardson,10701794 Wheat Richardson Yorkton to Hylife Randolph 15962,"1,111.25  "
06/08/2022,Natural Proteins Inc.,20861-1 Wheat Robert Stevenson to MTJF 15330-15331,"1,109.76  "
06/08/2022,Red River Grain,4297 Canola Meal RRG to Westbend 14954,983.18  
06/08/2022,Richardson,2000361625 Canola Richardson Crooked River to Richardson Yorkton 15710,934.08  
06/08/2022,Richardson,2000361626 Canola Richardson Crooked River to Richardson Yorkton 15713,932.40  
06/08/2022,Adroit Overseas Ent. Ltd.,P21221115-04 Corn Toews Family Enterprises to Husky Minnedosa 15707,887.20  
06/08/2022,Adroit Overseas Ent. Ltd.,P21221115-05 Corn Toews Family Ent to Husky Minnedosa 15328-15329,869.40  
06/08/2022,JGL,128164 Canola Meal Bunge Harrowby to Olysky Theodore 14956-14957 (36),840.00  
06/08/2022,Natural Proteins Inc.,20868-1 Soymeal NPI Blumenort to ML Arborg 15326,801.00  
06/08/2022,Parrish & Heimbecker Limited,617-998 Canola P + H Kegworth to Louis Dreyfus 14958 (36.31),798.00  
06/08/2022,Parrish & Heimbecker Limited,617-999 Canola P + H Kegworth to Louis Dreyfus 14959 (36.71),798.00  
